category,date,percent,downloads
with_mirrors,2023-10-16,0.59%,1171
with_mirrors,2023-10-29,0.59%,1170
without_mirrors,2023-10-16,0.59%,1170
without_mirrors,2023-10-29,0.58%,1166
with_mirrors,2023-06-30,0.58%,1161
without_mirrors,2023-06-30,0.58%,1158
with_mirrors,2023-10-22,0.58%,1151
without_mirrors,2023-10-22,0.58%,1151
with_mirrors,2023-08-27,0.57%,1144
without_mirrors,2023-08-27,0.57%,1144
with_mirrors,2023-10-21,0.57%,1142
with_mirrors,2023-08-20,0.57%,1139
without_mirrors,2023-08-20,0.57%,1139
without_mirrors,2023-10-21,0.57%,1138
with_mirrors,2023-07-03,0.57%,1136
with_mirrors,2023-07-11,0.57%,1136
without_mirrors,2023-07-11,0.57%,1135
without_mirrors,2023-07-03,0.57%,1133
with_mirrors,2023-10-03,0.56%,1122
with_mirrors,2023-09-21,0.56%,1120
without_mirrors,2023-09-21,0.56%,1119
without_mirrors,2023-10-03,0.56%,1117
with_mirrors,2023-10-04,0.55%,1106
without_mirrors,2023-10-04,0.55%,1101
with_mirrors,2023-10-05,0.55%,1095
without_mirrors,2023-10-05,0.55%,1095
with_mirrors,2023-10-06,0.54%,1085
with_mirrors,2023-07-15,0.54%,1080
without_mirrors,2023-07-15,0.54%,1078
without_mirrors,2023-10-06,0.54%,1078
with_mirrors,2023-09-25,0.54%,1077
with_mirrors,2023-09-10,0.54%,1076
without_mirrors,2023-09-25,0.54%,1073
with_mirrors,2023-10-09,0.54%,1072
without_mirrors,2023-09-10,0.54%,1071
without_mirrors,2023-10-09,0.54%,1071
with_mirrors,2023-08-19,0.53%,1056
without_mirrors,2023-08-19,0.53%,1055
with_mirrors,2023-06-13,0.52%,1042
without_mirrors,2023-06-13,0.52%,1041
with_mirrors,2023-07-04,0.52%,1040
without_mirrors,2023-07-04,0.52%,1033
with_mirrors,2023-08-13,0.52%,1029
without_mirrors,2023-08-13,0.51%,1025
with_mirrors,2023-09-03,0.51%,1022
without_mirrors,2023-09-03,0.51%,1021
with_mirrors,2023-06-22,0.51%,1017
with_mirrors,2023-09-09,0.51%,1015
