category,date,percent,downloads
with_mirrors,2023-06-20,0.59%,296938
without_mirrors,2023-06-20,0.59%,296695
with_mirrors,2023-07-18,0.59%,295905
without_mirrors,2023-07-28,0.59%,295776
without_mirrors,2023-07-20,0.59%,294726
without_mirrors,2023-08-16,0.58%,293792
with_mirrors,2023-06-15,0.58%,293532
without_mirrors,2023-06-15,0.58%,293387
with_mirrors,2023-07-24,0.58%,292869
without_mirrors,2023-08-09,0.58%,292761
without_mirrors,2023-07-18,0.58%,292656
with_mirrors,2023-08-17,0.58%,291752
with_mirrors,2023-07-19,0.58%,290665
with_mirrors,2023-06-29,0.58%,290658
without_mirrors,2023-07-24,0.58%,290398
without_mirrors,2023-06-29,0.57%,287718
without_mirrors,2023-07-19,0.57%,287353
without_mirrors,2023-08-17,0.57%,285710
with_mirrors,2023-06-05,0.56%,282556
without_mirrors,2023-06-05,0.56%,282313
with_mirrors,2023-05-31,0.56%,282075
with_mirrors,2023-06-14,0.56%,281912
without_mirrors,2023-05-31,0.56%,281880
without_mirrors,2023-06-14,0.56%,281595
with_mirrors,2023-06-23,0.56%,281241
without_mirrors,2023-06-23,0.56%,280725
with_mirrors,2023-07-21,0.56%,279588
with_mirrors,2023-08-18,0.55%,278713
with_mirrors,2023-06-06,0.55%,278141
without_mirrors,2023-06-06,0.55%,277917
without_mirrors,2023-07-21,0.55%,277053
with_mirrors,2023-08-15,0.55%,276553
without_mirrors,2023-08-18,0.54%,272484
without_mirrors,2023-08-15,0.54%,271431
with_mirrors,2023-06-13,0.54%,270628
without_mirrors,2023-06-13,0.54%,270197
with_mirrors,2023-07-17,0.53%,268221
with_mirrors,2023-06-01,0.53%,266897
without_mirrors,2023-06-01,0.53%,266666
without_mirrors,2023-07-17,0.53%,265304
with_mirrors,2023-08-11,0.52%,263275
with_mirrors,2023-08-14,0.52%,262760
with_mirrors,2023-06-19,0.52%,260931
without_mirrors,2023-06-19,0.52%,260668
with_mirrors,2023-07-12,0.52%,259839
with_mirrors,2023-06-16,0.52%,259350
without_mirrors,2023-06-16,0.51%,259203
without_mirrors,2023-08-11,0.51%,257439
without_mirrors,2023-08-14,0.51%,257317
without_mirrors,2023-07-12,0.51%,256607
with_mirrors,2023-07-11,0.51%,254372
with_mirrors,2023-06-12,0.50%,253106
with_mirrors,2023-06-07,0.50%,253030
without_mirrors,2023-06-12,0.50%,252871
without_mirrors,2023-06-07,0.50%,252426
with_mirrors,2023-06-02,0.50%,252097
