category,date,percent,downloads
without_mirrors,2023-07-18,0.66%,156732
without_mirrors,2023-08-11,0.66%,155752
with_mirrors,2023-07-28,0.66%,155706
without_mirrors,2023-07-11,0.66%,155631
with_mirrors,2023-07-12,0.66%,155427
with_mirrors,2023-07-24,0.65%,155248
without_mirrors,2023-07-26,0.65%,154799
without_mirrors,2023-07-12,0.65%,153166
with_mirrors,2023-07-19,0.64%,152815
without_mirrors,2023-08-04,0.64%,152281
without_mirrors,2023-07-19,0.64%,151439
without_mirrors,2023-07-24,0.63%,150459
without_mirrors,2023-07-27,0.63%,150132
without_mirrors,2023-07-28,0.62%,147382
with_mirrors,2023-07-10,0.61%,143664
without_mirrors,2023-07-10,0.60%,141532
with_mirrors,2023-07-21,0.58%,137202
without_mirrors,2023-07-21,0.57%,135354
with_mirrors,2023-07-17,0.57%,134305
with_mirrors,2023-07-13,0.57%,134147
without_mirrors,2023-07-13,0.56%,132824
without_mirrors,2023-07-17,0.55%,130218
with_mirrors,2023-10-07,0.50%,117679
without_mirrors,2023-10-07,0.48%,113560
with_mirrors,2023-07-07,0.48%,112707
with_mirrors,2023-07-06,0.47%,112328
with_mirrors,2023-10-14,0.47%,111289
with_mirrors,2023-10-08,0.47%,111145
without_mirrors,2023-07-07,0.47%,111141
with_mirrors,2023-07-14,0.47%,110344
without_mirrors,2023-07-06,0.46%,110123
with_mirrors,2023-10-29,0.46%,109965
without_mirrors,2023-10-08,0.46%,109906
without_mirrors,2023-10-14,0.46%,109040
without_mirrors,2023-07-14,0.46%,108377
without_mirrors,2023-10-29,0.45%,107575
with_mirrors,2023-10-01,0.45%,106769
with_mirrors,2023-09-23,0.45%,105959
with_mirrors,2023-06-27,0.45%,105808
without_mirrors,2023-10-01,0.45%,105693
with_mirrors,2023-10-28,0.45%,105527
with_mirrors,2023-10-15,0.44%,104737
without_mirrors,2023-06-27,0.44%,104357
with_mirrors,2023-09-24,0.44%,103991
with_mirrors,2023-07-05,0.44%,103888
without_mirrors,2023-09-23,0.44%,103632
without_mirrors,2023-10-15,0.44%,103396
with_mirrors,2023-10-21,0.44%,103240
with_mirrors,2023-10-22,0.43%,101767
without_mirrors,2023-09-24,0.43%,101521
without_mirrors,2023-07-05,0.43%,101480
with_mirrors,2023-06-28,0.43%,101459
with_mirrors,2023-09-30,0.43%,101205
without_mirrors,2023-10-28,0.43%,101129
without_mirrors,2023-10-22,0.42%,100711
without_mirrors,2023-10-21,0.42%,100144
with_mirrors,2023-07-30,0.42%,100125
with_mirrors,2023-06-21,0.42%,100049
without_mirrors,2023-07-30,0.42%,99398
without_mirrors,2023-06-28,0.42%,99325
with_mirrors,2023-06-20,0.42%,99324
without_mirrors,2023-09-30,0.42%,99053
without_mirrors,2023-06-21,0.42%,98627
without_mirrors,2023-06-20,0.41%,98399
with_mirrors,2023-06-22,0.41%,96098
with_mirrors,2023-06-26,0.41%,96067
with_mirrors,2023-07-04,0.40%,95888
without_mirrors,2023-06-22,0.40%,95490
with_mirrors,2023-09-16,0.40%,94486
with_mirrors,2023-09-09,0.40%,94366
without_mirrors,2023-06-26,0.40%,94347
with_mirrors,2023-09-10,0.40%,93789
without_mirrors,2023-07-04,0.39%,93263
without_mirrors,2023-09-16,0.39%,92473
with_mirrors,2023-09-17,0.39%,92352
without_mirrors,2023-09-10,0.39%,92220
without_mirrors,2023-09-09,0.39%,91299
with_mirrors,2023-06-29,0.38%,91200
without_mirrors,2023-09-17,0.38%,91031
without_mirrors,2023-06-29,0.38%,90256
with_mirrors,2023-06-23,0.38%,90169
with_mirrors,2023-08-05,0.38%,89995
with_mirrors,2023-07-03,0.38%,89919
without_mirrors,2023-07-03,0.37%,88792
without_mirrors,2023-06-23,0.37%,88250
without_mirrors,2023-08-05,0.37%,87868
with_mirrors,2023-08-06,0.37%,87779
with_mirrors,2023-08-13,0.37%,87331
with_mirrors,2023-06-30,0.37%,87049
with_mirrors,2023-06-19,0.37%,87042
with_mirrors,2023-08-26,0.37%,86856
with_mirrors,2023-08-20,0.37%,86754
with_mirrors,2023-09-03,0.36%,86545
without_mirrors,2023-06-30,0.36%,86111
without_mirrors,2023-06-19,0.36%,85619
without_mirrors,2023-08-06,0.36%,85578
without_mirrors,2023-08-13,0.36%,85248
with_mirrors,2023-08-19,0.36%,85061
