category,date,percent,downloads
without_mirrors,2023-08-10,0.61%,19189
without_mirrors,2023-08-18,0.61%,19167
with_mirrors,2023-06-27,0.61%,19114
without_mirrors,2023-10-21,0.61%,19019
without_mirrors,2023-10-28,0.61%,18941
without_mirrors,2023-06-27,0.60%,18874
with_mirrors,2023-08-01,0.60%,18871
with_mirrors,2023-07-31,0.60%,18793
with_mirrors,2023-07-06,0.59%,18592
with_mirrors,2023-07-28,0.59%,18531
without_mirrors,2023-08-01,0.59%,18478
without_mirrors,2023-07-31,0.59%,18454
without_mirrors,2023-07-06,0.59%,18327
without_mirrors,2023-07-28,0.58%,18198
with_mirrors,2023-07-10,0.58%,18063
with_mirrors,2023-08-11,0.57%,17910
with_mirrors,2023-08-03,0.57%,17887
with_mirrors,2023-07-13,0.57%,17820
without_mirrors,2023-07-10,0.56%,17647
without_mirrors,2023-07-13,0.56%,17608
without_mirrors,2023-08-03,0.56%,17600
with_mirrors,2023-07-12,0.56%,17547
with_mirrors,2023-08-14,0.56%,17538
without_mirrors,2023-08-11,0.55%,17266
without_mirrors,2023-08-14,0.55%,17254
with_mirrors,2023-07-27,0.55%,17240
without_mirrors,2023-07-12,0.55%,17212
without_mirrors,2023-07-27,0.54%,17038
with_mirrors,2023-07-14,0.53%,16726
with_mirrors,2023-07-07,0.53%,16700
with_mirrors,2023-10-14,0.53%,16617
with_mirrors,2023-10-22,0.52%,16402
without_mirrors,2023-07-07,0.52%,16392
without_mirrors,2023-10-14,0.52%,16388
without_mirrors,2023-10-22,0.52%,16347
with_mirrors,2023-07-05,0.52%,16206
without_mirrors,2023-07-14,0.51%,15975
without_mirrors,2023-07-05,0.50%,15540
with_mirrors,2023-10-15,0.49%,15457
without_mirrors,2023-10-15,0.49%,15396
with_mirrors,2023-08-07,0.49%,15320
with_mirrors,2023-10-07,0.48%,15109
with_mirrors,2023-08-04,0.48%,15080
without_mirrors,2023-08-07,0.47%,14855
without_mirrors,2023-08-04,0.47%,14853
without_mirrors,2023-10-07,0.47%,14708
with_mirrors,2023-06-30,0.47%,14604
with_mirrors,2023-06-21,0.47%,14585
with_mirrors,2023-06-14,0.46%,14404
